#Creator: pendulumviewEventBuffer
#Creation time: Thu Mar  7 11:06:45 2019
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
18.730	435	18.755	556
18.780	436	18.806	520
18.831	440	18.857	486
18.881	446	18.907	458
18.933	453	18.958	434
18.983	463	19.008	419
19.034	473	19.060	412
19.084	483	19.110	413
19.135	493	19.161	423
19.186	503	19.211	440
19.237	511	19.262	465
19.287	518	19.312	496
19.338	523	19.364	530
19.388	526	19.414	567
19.439	526	19.465	605
19.490	524	19.515	641
19.541	521	19.566	673
19.591	515	19.617	700
19.642	507	19.668	720
19.692	500	19.718	734
19.744	491	19.769	738
19.794	482	19.819	736
19.845	474	19.871	724
19.895	466	19.921	705
19.946	460	19.972	678
19.997	454	20.022	647
20.048	452	20.073	612
20.098	450	20.123	574
20.149	450	20.175	538
20.199	452	20.225	502
20.250	455	20.276	470
20.301	460	20.326	444
20.352	466	20.377	424
20.403	473	20.428	413
20.453	479	20.479	410
20.504	487	20.529	415
20.555	493	20.580	430
20.606	499	20.630	451
20.656	504	20.682	479
20.707	507	20.732	512
20.757	509	20.783	548
20.809	511	20.833	587
20.859	509	20.884	623
20.910	507	20.934	658
20.960	504	20.986	688
21.011	500	21.036	712
21.061	495	21.087	729
21.113	490	21.137	737
21.163	485	21.188	738
21.214	479	21.239	732
21.264	475	21.290	716
21.315	471	21.340	692
21.366	467	21.391	664
21.417	465	21.441	630
21.467	464	21.493	593
21.518	464	21.543	555
21.568	465	21.594	519
21.620	467	21.644	485
21.670	468	21.695	455
21.721	472	21.746	433
21.771	475	21.797	417
21.822	479	21.847	411
21.872	482	21.898	411
21.924	486	21.948	421
21.974	489	21.999	440
22.025	491	22.050	464
22.075	492	22.101	496
22.126	494	22.151	530
22.177	494	22.202	568
22.228	494	22.252	605
22.278	493	22.304	641
22.329	491	22.354	673
22.379	490	22.405	701
22.431	488	22.455	722
22.481	486	22.506	734
22.532	484	22.557	739
22.582	482	22.608	735
22.633	480	22.658	724
22.683	479	22.709	704
22.735	478	22.759	678
22.785	477	22.810	646
22.836	477	22.861	611
22.886	478	22.912	574
22.937	479	22.962	537
22.988	479	23.013	501
23.039	479	23.063	470
23.089	480	23.115	444
23.140	481	23.165	425
23.190	481	23.216	414
23.242	482	23.266	411
23.292	482	23.317	417
23.343	482	23.368	432
23.393	481	23.419	453
23.444	481	23.470	481
23.494	480	23.520	514
23.546	480	23.571	550
23.596	479	23.621	587
23.647	479	23.673	624
23.697	479	23.723	658
23.748	479	23.774	687
23.799	479	23.824	711
23.850	480	23.875	727
23.900	481	23.926	734
23.951	482	23.977	735
24.001	484	24.027	728
24.053	485	24.078	712
24.103	486	24.128	689
24.154	488	24.180	662
24.204	489	24.230	628
24.255	491	24.281	592
24.306	491	24.331	555
24.357	491	24.382	520
24.407	491	24.432	486
24.458	490	24.484	458
24.508	489	24.534	437
24.559	486	24.585	422
24.610	483	24.635	416
24.661	481	24.686	417
24.711	478	24.737	427
24.762	475	24.788	445
24.812	473	24.838	469
24.864	470	24.889	499
24.914	468	24.939	533
24.965	467	24.991	569
25.015	466	25.041	605
25.066	467	25.092	640
25.117	469	25.142	671
25.168	471	25.193	697
25.218	474	25.243	717
25.269	477	25.295	729
25.319	481	25.345	732
25.370	485	25.396	729
25.421	489	25.446	717
25.472	493	25.497	699
25.522	497	25.548	673
25.573	500	25.599	643
25.623	502	25.649	609
25.675	503	25.700	573
25.725	503	25.750	539
25.776	502	25.802	504
25.826	499	25.852	474
25.877	497	25.903	450
25.928	493	25.953	432
25.979	488	26.004	422
26.029	482	26.054	420
26.080	477	26.106	426
26.130	471	26.156	440
26.181	467	26.207	460
26.232	462	26.257	487
26.283	459	26.308	518
26.333	457	26.359	552
26.384	456	26.410	588
26.434	456	26.460	622
26.486	458	26.511	654
26.536	461	26.561	681
26.587	466	26.613	704
26.637	471	26.663	719
26.688	477	26.714	726
26.739	484	26.764	727
26.790	491	26.815	719
26.840	498	26.866	704
26.891	503	26.917	683
26.941	508	26.967	656
26.992	512	27.018	624
27.043	514	27.068	591
27.094	515	27.119	556
27.145	513	27.170	523
27.195	511	27.221	492
27.246	507	27.271	465
27.297	501	27.322	445
27.348	494	27.372	432
27.398	487	27.424	426
27.449	479	27.474	427
27.499	471	27.525	438
27.551	463	27.575	454
27.601	457	27.626	477
27.652	452	27.677	505
27.702	448	27.728	537
27.753	446	27.778	570
27.803	445	27.829	605
27.855	447	27.879	636
27.905	451	27.930	665
27.956	457	27.981	689
28.006	463	28.032	707
28.057	472	28.082	717
28.108	480	28.133	721
28.159	490	28.183	718
28.209	499	28.235	707
28.260	507	28.285	689
28.310	514	28.336	666
28.362	520	28.386	637
28.412	524	28.437	606
28.463	526	28.488	573
28.513	525	28.539	541
28.564	522	28.589	509
28.614	518	28.640	482
28.666	511	28.690	460
28.716	503	28.741	444
28.767	493	28.792	435
28.817	483	28.843	432
28.868	472	28.893	439
28.919	463	28.944	451
28.970	454	28.994	470
29.020	446	29.046	495
29.071	441	29.096	524
29.121	436	29.147	555
29.173	436	29.197	587
29.223	437	29.248	618
29.274	440	29.299	648
29.324	447	29.350	673
29.375	454	29.400	693
29.426	464	29.451	706
29.477	475	29.501	713
29.527	486	29.552	714
29.578	497	29.603	706
29.628	508	29.654	693
29.679	518	29.704	673
29.730	526	29.755	648
29.781	532	29.805	620
29.831	536	29.857	589
29.882	536	29.907	557
29.932	533	29.958	528
29.984	529	30.008	499
30.034	522	30.059	476
30.085	513	30.110	458
30.135	501	30.161	446
30.186	489	30.212	441
30.237	477	30.262	442
30.288	464	30.313	451
30.338	453	30.363	466
30.389	443	30.415	487
30.439	435	30.465	512
30.490	429	30.516	542
30.541	427	30.566	571
30.592	426	30.617	601
30.642	429	30.668	631
30.693	436	30.719	656
30.743	444	30.769	677
30.795	455	30.820	693
30.845	467	30.870	702
30.896	480	30.922	706
30.946	494	30.972	703
30.997	507	31.023	692
31.048	519	31.073	677
31.099	529	31.124	656
31.149	537	31.174	630
31.200	543	31.226	603
31.250	546	31.276	573
31.301	544	31.327	545
31.352	540	31.377	516
31.403	533	31.428	493
31.453	523	31.479	473
31.504	511	31.530	459
31.554	497	31.580	452
31.606	483	31.631	450
31.656	468	31.681	455
31.707	454	31.733	465
31.757	442	31.783	483
31.808	431	31.834	505
31.859	424	31.884	530
31.910	418	31.935	558
31.960	417	31.986	586
32.011	419	32.037	613
32.061	425	32.087	639
32.112	433	32.138	662
32.163	444	32.188	678
32.214	458	32.239	690
32.264	472	32.290	696
32.315	488	32.341	696
32.365	503	32.391	689
32.417	518	32.442	678
32.467	531	32.492	660
32.518	541	32.544	639
32.568	548	32.594	614
32.619	553	32.645	588
32.670	553	32.695	560
32.721	550	32.746	534
32.771	544	32.797	510
32.822	534	32.848	490
32.872	521	32.898	474
32.923	507	32.949	464
32.974	491	32.999	460
33.025	474	33.050	461
33.075	458	33.101	469
33.126	444	33.152	482
33.176	431	33.202	500
33.228	420	33.253	522
33.278	413	33.303	546
33.329	410	33.355	572
33.379	410	33.405	598
33.430	414	33.456	623
33.481	422	33.506	645
33.532	434	33.557	662
33.582	448	33.608	676
33.633	463	33.659	684
33.683	480	33.709	687
33.734	498	33.760	684
33.785	514	33.810	675
33.836	529	33.861	662
33.886	543	33.912	644
33.937	553	33.963	623
33.987	558	34.013	599
34.039	561	34.064	574
34.089	559	34.114	550
34.140	554	34.166	526
34.190	545	34.216	506
34.241	532	34.267	490
34.292	517	34.317	478
34.343	500	34.368	471
34.393	482	34.419	471
34.444	464	34.470	475
34.494	447	34.520	484
34.546	432	34.571	498
34.596	419	34.621	517
34.647	409	34.672	538
34.697	405	34.723	561
34.748	403	34.774	584
34.798	406	34.824	607
34.850	412	34.875	628
34.900	423	34.925	647
34.951	437	34.977	661
35.001	453	35.027	670
35.052	471	35.078	675
35.103	490	35.128	675
