#Creator: pendulumviewEventBuffer
#Creation time: Thu Mar  7 11:06:45 2019
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
18.731	485	18.755	743
18.781	473	18.806	735
18.832	460	18.857	720
18.882	450	18.908	697
18.933	441	18.959	667
18.984	435	19.009	633
19.035	431	19.060	597
19.085	430	19.110	559
19.136	431	19.162	520
19.186	434	19.212	486
19.237	440	19.263	457
19.288	448	19.313	432
19.339	458	19.364	416
19.389	468	19.415	409
19.440	479	19.466	410
19.490	489	19.516	420
19.542	499	19.567	439
19.592	508	19.617	465
19.643	515	19.669	495
19.693	520	19.719	532
19.744	523	19.770	571
19.795	524	19.820	608
19.846	522	19.871	645
19.896	518	19.921	679
19.947	513	19.973	707
19.997	505	20.023	728
20.048	497	20.074	741
20.099	489	20.124	746
20.150	480	20.175	743
20.200	471	20.226	731
20.251	463	20.277	711
20.301	456	20.327	684
20.353	450	20.378	652
20.403	447	20.428	616
20.454	445	20.480	577
20.504	445	20.530	538
20.555	447	20.581	501
20.606	451	20.631	468
20.657	456	20.682	442
20.707	461	20.733	421
20.758	468	20.784	410
20.808	476	20.834	407
20.859	483	20.885	412
20.910	490	20.935	427
20.961	496	20.986	450
21.011	500	21.037	478
21.062	504	21.088	513
21.112	507	21.138	550
21.164	508	21.189	590
21.214	507	21.239	628
21.265	505	21.291	664
21.315	502	21.341	694
21.366	497	21.392	719
21.417	493	21.442	737
21.468	488	21.493	746
21.518	482	21.544	746
21.569	477	21.595	739
21.619	472	21.645	722
21.670	467	21.696	699
21.721	464	21.746	669
21.772	462	21.797	635
21.822	461	21.848	596
21.873	461	21.899	558
21.923	462	21.949	520
21.975	463	22.000	484
22.025	465	22.050	453
22.076	469	22.102	431
22.126	472	22.152	414
22.177	476	22.203	408
22.228	479	22.253	409
22.279	483	22.304	419
22.329	485	22.355	439
22.380	488	22.406	464
22.430	490	22.456	496
22.481	491	22.507	532
22.532	492	22.557	570
22.583	491	22.608	608
22.633	491	22.659	646
22.684	490	22.710	679
22.734	488	22.760	708
22.786	486	22.811	729
22.836	485	22.861	742
22.887	482	22.913	746
22.937	480	22.963	743
22.988	478	23.014	730
23.039	477	23.064	710
23.090	476	23.115	683
23.140	476	23.166	651
23.191	475	23.217	615
23.241	476	23.267	577
23.293	476	23.318	538
23.343	476	23.368	501
23.394	477	23.419	469
23.444	478	23.470	442
23.495	478	23.521	423
23.545	479	23.571	412
23.597	479	23.622	409
23.647	479	23.672	414
23.698	479	23.724	430
23.748	479	23.774	452
23.799	478	23.825	480
23.850	478	23.875	514
23.901	477	23.926	552
23.951	477	23.977	590
24.002	476	24.028	627
24.052	477	24.078	663
24.104	477	24.129	693
24.154	477	24.179	717
24.205	478	24.230	734
24.255	480	24.281	742
24.306	480	24.332	742
24.356	483	24.382	735
24.408	484	24.433	719
24.458	485	24.483	696
24.509	487	24.535	666
24.559	488	24.585	632
24.610	489	24.636	595
24.661	489	24.686	556
24.712	489	24.737	520
24.762	489	24.788	486
24.813	487	24.839	457
24.863	486	24.889	434
24.915	484	24.940	419
24.965	481	24.990	413
25.016	478	25.041	414
25.066	476	25.092	425
25.117	472	25.143	443
25.167	470	25.193	468
25.219	467	25.244	499
25.269	465	25.294	535
25.320	464	25.346	571
25.370	464	25.396	609
25.421	465	25.447	644
25.472	466	25.497	676
25.523	468	25.548	703
25.573	471	25.599	723
25.624	475	25.650	735
25.674	479	25.700	739
25.726	483	25.751	736
25.776	488	25.801	724
25.827	492	25.853	705
25.877	496	25.903	679
25.928	498	25.954	648
25.978	500	26.004	613
26.030	501	26.055	576
26.080	502	26.105	539
26.131	500	26.157	505
26.181	498	26.207	474
26.232	494	26.258	448
26.283	490	26.308	430
26.334	485	26.359	420
26.384	479	26.410	417
26.435	474	26.461	423
26.485	468	26.511	437
26.537	463	26.562	459
26.587	459	26.612	486
26.638	455	26.664	518
26.688	453	26.714	553
26.739	452	26.765	591
26.789	452	26.815	626
26.841	455	26.866	659
26.891	458	26.916	687
26.942	462	26.968	710
26.992	468	27.018	726
27.043	475	27.069	733
27.094	482	27.119	733
27.145	489	27.170	726
27.195	496	27.221	710
27.246	502	27.272	688
27.296	507	27.322	660
27.348	511	27.373	629
27.398	513	27.423	594
27.449	514	27.475	558
27.499	512	27.525	523
27.550	510	27.576	491
27.600	505	27.626	464
27.652	499	27.677	443
27.702	492	27.727	430
27.753	483	27.779	424
27.803	475	27.829	425
27.854	467	27.880	436
27.905	460	27.930	452
27.956	453	27.981	476
28.006	447	28.032	505
28.057	443	28.083	539
28.107	441	28.133	573
28.159	441	28.184	607
28.209	443	28.234	640
28.260	447	28.286	670
28.310	452	28.336	695
28.361	459	28.387	713
28.411	468	28.437	724
28.463	478	28.488	727
28.514	487	28.538	724
28.564	497	28.590	712
28.615	505	28.640	695
28.665	513	28.691	670
28.717	519	28.741	641
28.767	523	28.792	610
28.818	525	28.843	576
28.868	524	28.894	542
28.919	522	28.944	510
28.970	516	28.995	481
29.021	508	29.045	458
29.071	501	29.097	442
29.122	490	29.147	433
29.172	479	29.198	431
29.224	469	29.248	436
29.274	459	29.299	450
29.325	449	29.349	468
29.375	441	29.401	494
29.426	435	29.451	524
29.476	431	29.502	556
29.528	430	29.552	589
29.578	431	29.603	622
29.629	435	29.654	652
29.679	441	29.705	678
29.730	450	29.755	699
29.781	460	29.806	713
29.832	472	29.856	719
29.882	483	29.908	719
29.933	495	29.958	713
29.983	507	30.009	699
30.035	517	30.059	679
30.085	525	30.110	653
30.136	531	30.160	623
30.186	535	30.212	592
30.237	535	30.262	560
